Complex,Beds,Bath,SqFt,List,Sold,SoldDate
222 Glenwood,2,2,1400,450000,455000,2/25/2022
222 Glenwood,1,1,800,318000,329000,2/18/2022
222 Glenwood,2,2,1200,425000,435000,2/16/2022
222 Glenwood,1,1,800,320000,325000,1/24/2022
222 Glenwood,1,1,700,260000,260000,12/16/2021
510 Glenwood,1,1.5,1000,346000,350000,1/31/2022
510 Glenwood,2,2.5,2200,650000,632000,12/22/2021
Hudson,1,1.5,1300,400000,395000,3/3/2022
Hudson,1,1.5,1300,422000,416000,2/22/2022
Hudson,1,1.5,1300,435000,435000,2/18/2022
Paramount,3,4,2600,900000,900000,2/22/2022
Paramount,2,2,1200,485000,487000,2/21/2022
Paramount,2,2,1300,475000,465000,2/18/2022
Park Devereux,2,2.5,1500,519000,530000,12/12/2021
PNC Plaza,2,2,1500,749000,749000,1/10/2022
PNC Plaza,1,1,900,380000,400000,12/30/2021
PNC Plaza,2,2,1100,425000,440000,12/15/2021
PNC Plaza,1,1,800,339000,350000,12/8/2021
The Dawson,2,2,1400,425000,460000,3/1/2022
The Dawson,2,2,1200,395000,410000,12/15/2021
The Dawson,2,2,1200,420000,410000,12/6/2021
West Condominiums,1,1,1100,330000,340000,2/10/2022
West Condominiums,1,1,1000,335000,330000,1/6/2022
West Condominiums,1,1,1000,340000,330000,12/22/2021
West Condominiums,1,1,700,260000,270000,12/14/2021
222 Glenwood,1,1,700,260000,260000,12/16/2022
222 Glenwood,2,2,1300,468000,465000,12/3/2022
222 Glenwood,2,2,1200,390000,405000,11/19/2022
510 Glenwood,2,2.5,2200,650000,632000,12/22/2022
Paramount,2,2,1300,479000,470000,11/19/2022
Paramount,2,2,1100,480000,491000,11/19/2022
Park Devereux,2,2.5,1500,519000,530000,12/15/2022
Park Devereux,2,2,1000,420000,430000,11/30/2022
PNC Plaza,2,2,1100,425000,440000,12/15/2022
PNC Plaza,1,1,800,339000,350000,12/8/2022
PNC Plaza,1,1,900,320000,320000,11/15/2022
PNC Plaza,2,2,1400,665000,653000,11/5/2022
The Cotton Mill,1,1.5,800,299000,300000,12/3/2022
The Dawson,2,2,1200,395000,410000,12/15/2022
The Dawson,2,2,1200,420000,410000,12/6/2022
The Dawson,2,2,1200,375000,370000,11/16/2022
West Condominiums,1,1,1000,340000,330000,12/22/2022
West Condominiums,1,1,700,260000,270000,12/14/2022
West Condominiums,3,2,1900,680000,710000,12/3/2022
West Condominiums,3,2,1800,670000,672000,11/17/2022
West Condominiums,1,1,800,280000,290000,11/12/2022
